route_short_name,direction_id,segments_traversed,fallback_median_seconds,sample_count
46,1,18,2105.0,57598
46,1,19,2225.0,54905
46,1,20,2347.0,52219
46,1,21,2468.0,49544
46,1,22,2593.0,46887
46,1,23,2715.0,44243
46,1,24,2835.0,41605
46,1,25,2946.0,38978
46,1,26,3053.0,36368
46,1,27,3158.0,33771
46,1,28,3260.0,31182
46,1,29,3360.0,28595
46,1,30,3460.0,26025
46,1,31,3562.0,23461
46,1,32,3664.0,20904
46,1,33,3766.0,18352
46,1,34,3870.0,15813
46,1,35,3971.0,13304
46,1,36,4066.0,10845
46,1,37,4155.0,8447
46,1,38,4243.0,6157
46,1,39,4321.0,4034
46,1,40,4415.0,2244
46,1,41,4480.0,922
46,1,42,4535.0,269
46,1,43,4627.0,53
46,1,44,4804.0,6
46,2,1,71.0,115731
46,2,2,177.0,111917
46,2,3,285.0,108143
46,2,4,402.0,104484
46,2,5,522.0,101101
46,2,6,646.0,97738
46,2,7,770.0,94382
46,2,8,901.0,91037
46,2,9,1036.0,87716
46,2,10,1175.0,84426
46,2,11,1316.0,81184
46,2,12,1465.0,77984
46,2,13,1614.0,74804
46,2,14,1785.0,71633
46,2,15,1959.0,68483
46,2,16,2131.0,65340
46,2,17,2276.0,62218
46,2,18,2414.0,59122
46,2,19,2550.0,56324
46,2,20,2687.0,53530
46,2,21,2824.0,50744
46,2,22,2962.0,47967
46,2,23,3097.0,45206
46,2,24,3229.0,42483
46,2,25,3359.0,39861
46,2,26,3486.0,37397
46,2,27,3609.0,34971
46,2,28,3725.0,32557
46,2,29,3829.0,30155
46,2,30,3927.0,27786
46,2,31,4020.0,25425
46,2,32,4111.0,23070
46,2,33,4199.0,20719
46,2,34,4285.0,18379
46,2,35,4372.0,16049
46,2,36,4462.0,13735
46,2,37,4558.0,11453
46,2,38,4656.0,9217
46,2,39,4745.0,7053
46,2,40,4834.0,5061
46,2,41,4927.0,3233
46,2,42,4976.0,1506
46,2,43,4911.0,333
46,2,44,4762.0,73
46,2,45,4789.0,15
46,2,46,4949.0,2
