route_short_name,direction_id,segment,start_stop_sample,end_stop_sample,n_obs,mean_run_time_sec,median_run_time_sec,p10_run_time_sec,p90_run_time_sec,iqr_run_time_sec,std_run_time_sec,mean_dwell_time_sec,median_dwell_time_sec,p90_dwell_time_sec,std_dwell_time_sec,mean_total_time_sec,median_total_time_sec,p10_total_time_sec,p90_total_time_sec,iqr_total_time_sec,std_total_time_sec,cv_total_time,is_high_variability_segment
12,2,40,Il'iasa Esenberlina,Agrotekhnicheskii universitet,2052,144.2,139.0,41.0,245.9,100.25,77.42,25.37,24.0,36.0,9.59,169.58,164.5,65.1,272.9,102.0,78.96,0.4656,1
46,1,36,AO Kazmunaigaz,Dom Ministerstv,3893,126.01,112.0,33.0,212.0,93.0,111.6,23.36,22.0,41.0,21.14,149.38,135.0,50.0,241.0,96.0,116.82,0.7821,1
10,1,33,E 319,Detskii sad Balbulak,3325,123.6,102.0,63.0,211.0,96.0,60.68,17.73,18.0,32.0,16.93,141.33,118.0,79.0,235.0,96.0,65.13,0.4608,1
12,1,20,AO Kazmunaigaz,AO Kazmunaigaz,2853,195.38,168.0,62.0,297.0,89.0,182.59,28.98,27.0,46.0,19.02,224.36,198.0,85.0,334.8,93.0,184.82,0.8237,1
10,1,43,Astana EKSPO,Astana EKSPO,13,140.08,75.0,37.6,323.4,92.0,135.7,4.38,2.0,9.4,8.29,144.46,75.0,38.4,324.8,90.0,141.43,0.979,0
46,2,13,Bukhar zhyrau,Bukhar zhyrau,4176,158.87,120.0,71.0,286.0,78.0,141.22,36.88,33.0,60.0,27.94,195.75,156.0,99.0,335.0,88.0,147.21,0.752,1
46,1,30,Dom Ministerstv,Dom Ministerstv,3942,94.8,75.0,9.0,183.0,75.0,96.92,31.04,28.0,57.0,26.43,125.84,108.0,17.0,230.0,88.0,107.03,0.8505,1
46,2,16,Dom ministerstv,Bukhar zhyrau,4181,148.16,119.0,54.0,253.0,77.0,139.0,35.45,31.0,56.0,20.75,183.61,154.0,85.0,296.0,82.0,142.82,0.7779,1
12,1,17,Detskii sad Balbulak,Dom Ministerstv,2913,124.83,110.0,29.0,218.0,81.0,96.3,26.3,23.0,41.0,22.28,151.13,136.0,43.0,250.8,81.0,102.82,0.6804,1
12,1,14,AO Kazmunaigaz,Dom Ministerstv,2915,120.9,101.0,41.0,231.0,71.0,99.84,13.74,2.0,40.0,29.55,134.64,111.0,46.0,265.6,80.0,108.16,0.8034,1
12,2,22,Astana EKSPO,Astana EKSPO,2226,122.11,109.0,48.0,185.0,76.0,99.08,30.89,28.0,49.0,19.49,153.0,138.5,74.0,223.0,80.0,103.1,0.6739,1
46,2,6,Bukhar zhyrau,Bukhar zhyrau,4076,176.7,156.0,93.0,267.0,77.0,135.82,15.27,11.0,32.0,16.82,191.98,171.0,111.0,283.5,79.0,134.93,0.7028,1
46,2,42,Ardagerler,Babataiuly,3360,83.12,88.0,20.0,132.0,83.0,60.5,17.08,16.0,31.0,13.56,100.2,104.0,35.0,155.0,79.0,58.91,0.588,1
10,1,20,Biznes tsentr Asyl-Tau,Biznes tsentr Asyl-Tau,3332,78.4,72.0,10.0,131.0,61.0,65.87,47.97,47.0,82.0,27.94,126.37,122.0,32.0,203.0,79.0,77.74,0.6152,1
12,2,24,Astana EKSPO,Astana EKSPO,2222,140.11,119.0,68.0,243.9,70.0,88.66,37.06,34.0,58.0,18.77,177.17,155.0,99.0,290.0,78.0,94.08,0.531,1
46,2,14,Bukhar zhyrau,Bukhar zhyrau,4176,142.22,124.0,66.0,231.0,72.0,91.86,35.67,31.0,56.0,24.36,177.89,159.0,99.0,268.5,76.0,96.44,0.5422,1
12,1,48,Biznes tsentr Asyl-Tau,AO Kazmunaigaz,19,116.42,101.0,36.8,168.6,76.0,123.52,8.79,0.0,36.8,19.36,125.21,105.0,38.8,180.6,76.0,137.87,1.1011,0
12,1,52,Biznes tsentr Asyl-Tau,AO Kazmunaigaz,10,67.6,54.5,37.8,106.5,54.0,33.48,7.3,2.0,25.4,12.97,74.9,57.0,37.8,126.3,75.0,39.74,0.5306,0
10,2,32,Agrotekhnicheskii universitet,Agrotekhnicheskii universitet,3142,105.48,109.0,47.0,157.0,72.0,49.13,35.64,34.0,51.0,13.31,141.12,147.0,79.0,196.0,74.0,51.63,0.3659,1
10,1,41,Astana EKSPO,Astana EKSPO,24,101.83,73.5,31.6,204.9,79.0,83.06,4.54,0.0,10.0,11.29,106.38,78.0,34.3,205.6,74.0,81.5,0.7662,0
46,2,33,Akan Sery,Akan Sery,4171,71.15,69.0,24.0,126.0,73.0,45.66,17.95,17.0,30.0,11.64,89.1,85.0,39.0,147.0,73.0,47.74,0.5358,1
46,2,11,Bukhar zhyrau,Bukhar zhyrau,4158,127.26,110.0,52.0,185.0,70.0,121.06,32.35,29.0,54.0,20.45,159.61,140.0,81.0,227.0,73.0,123.94,0.7765,1
46,1,24,AO Kazmunaigaz,AO Kazmunaigaz,3938,115.97,111.0,42.0,182.0,72.0,60.54,32.89,30.0,50.0,19.36,148.86,144.0,75.0,216.0,72.0,62.51,0.4199,1
10,2,28,Alibi Zhangel'dina,Alibi Zhangel'dina,3143,95.5,90.0,42.0,156.0,66.0,49.0,28.1,26.0,41.0,12.02,123.59,119.0,65.0,189.0,72.0,52.13,0.4218,1
12,2,25,Astana EKSPO,Bukhar zhyrau,2224,126.75,113.0,55.0,207.7,69.25,75.64,31.52,30.0,47.0,24.69,158.27,143.0,83.0,244.7,72.0,83.71,0.5289,1
46,1,44,Karakat,Karakat,216,107.27,95.0,50.0,159.0,59.0,92.2,16.84,13.5,35.0,16.42,124.11,112.5,64.0,180.0,69.25,92.58,0.7459,0
46,1,22,Akan Sery,Kardiokhirurgicheskaia klinika,3930,80.03,77.0,30.0,129.0,68.0,54.82,34.73,31.0,54.0,16.52,114.75,110.0,60.0,168.0,69.0,57.1,0.4976,1
12,1,19,AO Kazmunaigaz,AO Kazmunaigaz,2907,65.93,30.0,14.0,170.0,46.5,106.31,23.59,21.0,49.0,21.67,89.51,59.0,21.0,197.4,69.0,109.88,1.2275,1
12,1,47,Biznes tsentr Asyl-Tau,AO Kazmunaigaz,25,72.04,57.0,24.2,134.6,40.0,62.72,2.68,0.0,4.6,6.02,74.72,59.0,27.2,136.6,69.0,63.29,0.847,0
46,2,27,Akan Sery,Akan Sery,4178,121.8,117.0,63.0,181.3,67.0,54.77,23.92,22.0,37.0,12.86,145.72,141.0,84.0,210.0,68.0,58.03,0.3982,1
46,1,31,Dom Ministerstv,Dom Ministerstv,3945,94.51,70.0,26.0,194.0,57.0,91.18,30.93,28.0,51.0,23.22,125.44,102.0,50.0,231.6,68.0,96.73,0.7711,1
46,1,27,AO Kazmunaigaz,AO Kazmunaigaz,3929,73.3,54.0,16.0,157.2,70.0,74.07,32.94,30.0,52.0,16.88,106.23,88.0,47.0,185.0,68.0,72.7,0.6844,1
46,1,37,Dom Ministerstv,Dom Ministerstv,3854,99.67,89.0,41.0,169.0,65.0,62.27,18.47,17.0,36.0,39.95,118.13,105.0,49.0,194.0,68.0,83.47,0.7066,1
12,1,21,AO Kazmunaigaz,AO Kazmunaigaz,2856,117.36,108.0,55.0,181.0,60.0,74.17,23.84,24.0,41.0,16.58,141.2,132.0,72.0,209.5,68.0,77.94,0.552,1
46,1,43,Karakat,Karakat,614,109.8,102.0,54.0,167.7,61.75,49.01,18.38,16.0,37.0,16.54,128.18,123.0,69.0,189.7,68.0,51.77,0.4039,1
46,2,18,Dom ministerstv,Dom ministerstv,4149,107.66,94.0,48.0,162.2,63.0,77.5,30.23,26.0,56.0,25.2,137.88,125.0,70.0,204.0,67.0,83.54,0.6059,1
12,1,10,Park Astana,Bol'nitsa Meditsinskogo tsentra UDP RK,2904,79.17,81.0,31.0,125.0,69.0,41.1,37.83,34.0,57.0,16.09,117.0,117.0,63.0,168.0,67.0,44.97,0.3843,1
46,1,25,AO Kazmunaigaz,AO Kazmunaigaz,3932,80.27,62.0,35.0,150.0,60.0,59.07,34.42,30.0,55.0,22.05,114.69,98.0,64.0,186.0,66.0,62.33,0.5435,1
46,1,26,AO Kazmunaigaz,AO Kazmunaigaz,3913,79.6,69.0,25.0,138.0,64.0,57.12,33.75,30.0,55.8,19.2,113.35,103.0,58.0,177.0,66.0,59.84,0.528,1
10,1,8,Biznes tsentr Marden,Narodnyi bank,3335,176.83,174.0,118.0,238.0,64.0,53.56,37.7,35.0,53.0,16.03,214.53,210.0,153.4,279.0,66.0,57.82,0.2695,1
46,1,42,K'arlyg'ash balabak'shasy,Karakat,1437,118.76,116.0,57.0,175.0,60.0,58.07,18.75,18.0,35.0,20.79,137.51,134.0,75.0,194.0,65.0,62.48,0.4544,1
10,1,42,Astana EKSPO,Astana EKSPO,19,79.89,40.0,26.8,133.4,71.0,103.55,5.11,0.0,20.0,8.01,85.0,44.0,28.6,149.4,64.5,105.66,1.243,0
12,1,49,Dvorets edinoborstv im. Zhaksylyka Ushkempirova,AO Kazmunaigaz,18,101.56,91.5,34.9,176.9,64.0,55.97,3.39,1.0,5.3,6.63,104.94,94.0,35.5,177.9,64.25,59.72,0.5691,0
46,2,19,Dom ministerstv,Dom ministerstv,3804,96.85,77.0,34.0,141.7,66.0,97.57,29.72,27.0,47.0,15.0,126.57,108.0,60.0,175.0,64.0,99.49,0.7861,1
12,1,25,Astana EKSPO,Astana EKSPO,2894,103.07,104.0,44.0,143.0,63.0,90.39,27.17,26.0,40.0,11.87,130.24,131.0,68.0,173.0,64.0,91.2,0.7002,1
12,2,33,Finansovyi tsentr,Dom ministerstv,2228,85.02,75.0,38.0,145.0,64.25,46.06,27.26,25.0,40.0,12.6,112.28,105.0,61.0,173.0,64.0,47.37,0.4219,1
12,2,26,Bukhar zhyrau,Astana EKSPO,2227,128.75,121.0,48.0,193.4,62.0,81.36,14.35,7.0,33.0,18.46,143.1,130.0,66.0,212.4,64.0,85.14,0.5949,1
12,2,2,Biznes tsentr Asyl-Tau,Bol'nitsa Meditsinskogo tsentra UDP RK,2189,238.41,238.0,177.8,307.0,59.0,85.02,19.37,15.0,30.0,71.61,257.78,255.0,190.0,328.0,64.0,108.9,0.4225,1
46,1,40,Finansovyi tsentr,K'arlyg'ash balabak'shasy,3200,97.61,95.0,49.0,144.0,61.0,44.67,24.67,24.0,39.0,13.31,122.28,121.0,71.0,170.1,63.25,46.46,0.3799,0
46,2,32,Akan Sery,Akan Sery,4179,63.41,41.0,22.0,120.0,60.5,64.05,16.48,15.0,29.0,12.19,79.89,58.0,34.0,140.0,63.0,65.25,0.8167,0
46,1,19,Akan Sery,Akan Sery,3945,135.99,114.0,65.4,235.0,61.0,90.11,27.56,27.0,44.0,16.43,163.55,145.0,92.0,251.0,63.0,86.86,0.5311,0
46,1,21,Akan Sery,Akan Sery,3936,75.92,58.0,30.0,126.0,59.0,70.43,31.66,29.0,48.0,18.76,107.58,90.0,56.0,164.0,63.0,73.39,0.6822,0
12,1,12,E 495,AO Kazmunaigaz,2915,142.6,135.0,79.0,197.0,62.0,150.63,32.73,30.0,49.0,17.89,175.34,169.0,110.0,230.0,63.0,151.52,0.8642,0
46,2,47,Gostinitsa Bakhyt,Mu'sa dukeni,20,54.4,31.5,12.9,116.2,61.5,53.33,15.4,13.0,23.1,18.51,69.8,58.5,13.9,131.6,62.75,54.77,0.7846,0
46,1,41,K'arlyg'ash balabak'shasy,K'arlyg'ash balabak'shasy,2506,113.56,113.0,54.0,166.0,61.75,50.57,21.15,20.0,36.0,17.77,134.71,134.0,74.0,186.0,62.0,52.18,0.3874,0
46,2,21,Akan Sery,Akan Sery,4172,85.73,80.0,36.0,141.0,64.0,56.28,27.12,25.0,41.0,12.72,112.85,107.0,60.0,168.0,61.0,57.15,0.5064,0
46,1,20,Akan Sery,Akan Sery,3942,114.22,100.0,41.0,162.0,59.0,89.04,30.09,29.0,45.0,14.86,144.31,130.5,68.0,194.0,61.0,87.67,0.6075,0
46,1,45,Karakat,Karakat,55,102.2,96.0,57.0,164.8,53.0,39.04,13.49,10.0,30.4,12.91,115.69,109.0,65.6,169.8,61.0,41.64,0.3599,0
46,2,25,Akan Sery,Akan Sery,4183,90.5,81.0,41.0,139.0,59.0,57.46,31.13,29.0,47.0,14.87,121.63,113.0,68.0,175.0,60.0,59.22,0.4869,0
12,1,7,Park Astana,AO Kazmunaigaz,2918,104.58,109.0,28.0,160.0,70.0,57.67,38.24,31.0,60.0,27.88,142.83,145.0,70.0,197.0,60.0,55.56,0.389,0
12,2,17,Astana EKSPO,Astana EKSPO,2228,94.33,92.0,47.0,137.0,58.0,51.37,17.5,17.0,34.0,13.52,111.83,112.5,65.0,153.0,60.0,52.76,0.4718,0
12,2,21,Astana EKSPO,Astana EKSPO,2228,86.21,72.0,38.0,143.3,55.0,65.89,30.89,28.0,48.0,17.21,117.1,103.0,64.0,177.0,59.0,69.32,0.5919,0
12,2,18,Astana EKSPO,Astana EKSPO,2225,83.36,75.0,37.0,128.0,58.0,49.72,27.64,26.0,41.0,16.44,111.0,104.0,61.0,158.0,59.0,52.84,0.476,0
12,2,37,Dom ministerstv,Kazakhstan temir zholy,2175,78.18,71.0,39.0,126.0,56.0,35.18,30.26,28.0,44.0,12.92,108.44,102.0,65.0,159.0,59.0,38.82,0.358,0
46,1,46,Karakat,Karakat,17,91.88,85.0,44.6,138.6,44.0,43.12,15.18,13.0,30.0,14.05,107.06,89.0,64.2,160.0,59.0,42.45,0.3965,0
12,1,50,Biznes tsentr Asyl-Tau,AO Kazmunaigaz,14,62.36,49.0,12.5,120.5,45.0,49.33,5.43,0.0,11.3,13.94,67.79,55.5,16.0,124.7,58.75,50.08,0.7388,0
46,1,6,Akan Sery,Aktobe,3863,210.54,150.0,93.0,214.0,55.5,375.78,23.79,23.0,37.0,16.6,234.34,175.0,112.0,242.0,58.5,372.52,1.5897,0
10,1,28,Bol'nitsa Meditsinskogo tsentra UDP RK,Bol'nitsa Meditsinskogo tsentra UDP RK,3328,46.25,30.0,20.0,89.0,36.0,44.61,11.46,4.0,29.0,14.18,57.71,34.0,23.0,115.0,58.0,53.08,0.9197,0
10,2,33,Agrotekhnicheskii universitet,Agrotekhnicheskii universitet,3144,163.2,171.0,60.0,237.0,57.0,68.79,32.41,31.0,47.0,13.41,195.62,204.0,84.0,275.0,58.0,73.77,0.3771,0
10,2,2,Astana EKSPO,Bol'nitsa Meditsinskogo tsentra UDP RK,3115,248.52,241.0,191.0,304.0,57.0,80.58,19.0,18.0,31.0,12.06,267.52,261.0,207.0,325.0,58.0,81.52,0.3047,0
12,2,29,Bukhar zhyrau,Dom ministerstv,2228,41.12,11.0,4.0,133.6,35.0,64.28,34.22,27.0,61.3,25.89,75.34,48.0,28.0,169.0,58.0,66.28,0.8796,0
46,2,46,Gostinitsa Bakhyt,Gostinitsa Bakhyt,74,54.09,23.5,7.3,108.7,43.0,93.1,17.61,7.5,21.0,70.29,71.7,39.0,9.3,126.0,57.25,112.1,1.5634,0
46,2,10,Bukhar zhyrau,Bukhar zhyrau,4148,100.03,78.0,44.0,145.0,55.0,182.17,32.73,29.0,51.0,21.19,132.75,111.0,71.0,183.0,57.0,182.79,1.3769,0
46,2,41,Ardagerler,Ardagerler,3398,68.22,60.0,26.0,116.0,57.0,48.41,18.8,17.0,31.0,18.04,87.02,79.0,43.0,135.0,57.0,50.52,0.5805,0
12,1,8,AO Kazmunaigaz,Astana EKSPO,2913,115.53,111.0,62.0,165.8,54.0,58.1,32.67,31.0,48.0,15.98,148.2,143.0,93.0,200.0,56.0,63.53,0.4287,0
12,1,6,Akan Sery,Park Astana,2898,71.41,58.0,41.0,115.0,29.0,67.6,19.49,4.0,61.0,30.96,90.9,70.0,45.0,166.3,56.0,77.0,0.8471,0
46,2,45,Gostinitsa Bakhyt,Gostinitsa Bakhyt,351,44.77,21.0,7.0,108.0,27.0,86.1,20.79,8.0,39.0,58.14,65.56,38.0,10.0,143.0,56.0,102.1,1.5573,0
10,1,27,Astana EKSPO,Bol'nitsa Meditsinskogo tsentra UDP RK,3333,92.8,77.0,25.2,133.0,65.0,91.13,26.15,22.0,49.0,22.25,118.95,109.0,30.0,164.0,55.0,93.59,0.7867,0
12,2,19,Astana EKSPO,Astana EKSPO,2225,67.41,51.0,33.0,108.0,52.0,43.52,28.2,26.0,42.0,12.75,95.61,82.0,57.0,140.0,55.0,46.36,0.4849,0
12,2,14,Astana EKSPO,Astana EKSPO,2216,95.49,87.0,46.0,137.0,53.0,101.39,26.05,24.0,39.0,12.88,121.54,113.0,69.0,165.0,55.0,101.49,0.8351,0
12,1,43,Detskii sad Balbulak,Dvorets edinoborstv im. Zhaksylyka Ushkempirova,37,123.76,47.0,27.0,120.4,51.0,272.05,4.0,0.0,13.2,9.87,127.76,48.0,27.0,138.4,55.0,271.54,2.1254,0
12,2,47,Prospekt Saryarka,Prospekt Saryarka,20,72.4,75.0,33.6,100.2,45.25,34.22,31.2,24.5,60.4,19.04,103.6,107.0,53.7,144.6,54.5,37.9,0.3659,0
46,2,24,Akan Sery,Akan Sery,4183,67.39,59.0,26.0,114.0,55.0,48.3,32.21,30.0,49.0,15.3,99.6,94.0,56.0,144.0,54.0,48.62,0.4882,0
46,1,16,Akan Sery,Akan Sery,3941,71.42,58.0,29.0,126.0,48.0,57.58,23.39,20.0,40.0,17.42,94.8,81.0,45.0,163.0,53.0,63.0,0.6646,0
10,2,27,Biznes tsentr Asyl-Tau,Alibi Zhangel'dina,3140,108.26,103.0,58.0,153.0,50.0,56.66,29.47,27.0,44.0,13.44,137.74,130.0,81.0,191.0,53.0,59.18,0.4296,0
10,2,14,Astana EKSPO,Biznes tsentr Asyl-Tau,3137,117.13,98.0,59.0,152.0,44.0,86.65,52.34,47.0,81.0,60.65,169.46,150.0,101.6,221.0,53.0,109.54,0.6464,0
10,2,9,Astana EKSPO,Bol'nitsa Meditsinskogo tsentra UDP RK,3133,121.53,110.0,69.0,183.0,48.0,69.13,23.55,22.0,36.8,12.96,145.08,134.0,90.0,207.0,53.0,70.32,0.4847,0
12,1,24,Astana EKSPO,Astana EKSPO,2910,89.34,85.0,48.0,131.0,53.0,39.82,28.21,26.0,42.0,12.86,117.55,114.0,73.0,161.0,53.0,41.52,0.3532,0
12,2,36,Dom ministerstv,Dom ministerstv,2206,67.06,63.5,29.0,113.0,53.0,33.52,31.9,29.0,48.0,13.76,98.96,96.0,57.0,144.0,53.0,35.43,0.358,0
46,2,20,Dom ministerstv,Akan Sery,4172,83.56,60.0,37.0,161.0,45.0,71.96,30.88,28.0,57.0,19.63,114.44,96.0,63.0,186.0,52.0,68.92,0.6022,0
46,2,12,Bukhar zhyrau,Bukhar zhyrau,4170,104.8,72.0,38.0,135.0,43.0,163.0,39.49,35.0,65.0,22.01,144.29,111.0,68.0,191.0,52.0,163.18,1.1309,0
46,1,9,Akan Sery,Akan Sery,3948,105.87,93.0,47.0,149.0,59.0,190.67,9.66,5.0,25.0,11.52,115.53,100.0,61.0,156.0,52.0,190.37,1.6478,0
10,1,16,Dom Ministerstv,Dom Ministerstv,3281,98.67,90.0,41.0,150.0,49.0,63.58,11.64,5.0,31.0,17.8,110.3,101.0,48.0,166.0,52.0,69.57,0.6307,0
